,בעלי זכות בחירה,מצביעים,העבודה,אור,מפד”ל,יהדות התורה,בל”ד,התנועה הירוקה מימד,חד”ש,גמלאים,ישראל חזקה,איחוד לאומי,הישראלים,לב,ניצולי השואה ובוגרי עלה ירוק,קדימה,ישראל ביתנו,ליכוד,מרצ,ישראל המתחדשת,אחריות,לזוז,לוחמי חברה מאוחדים,רע”מ,כח להשפיע,מהפך בחינוך,ברית עולם,זכויות הגבר במשפחה,צומת,צבר,דעם,עלה ירוק,כוח הכסף,לידר,הירוקים,ש”ס
אומן,262,148,3,0,1,0,0,0,0,0,1,0,0,1,0,23,60,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14
אומץ,346,251,78,0,0,1,0,4,2,2,0,1,0,0,0,104,7,32,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
אופקים,17314,10177,592,2,299,1280,5,102,3,21,34,292,3,2,6,915,1679,2536,72,14,5,0,2,3,1,0,1,3,3,12,8,20,0,10,14,2088
אור הגנוז,153,100,0,0,0,26,0,0,0,0,0,14,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
אור הנר,407,283,82,0,1,0,1,3,1,0,0,0,0,0,0,133,11,20,24,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1
אור יהודה,24705,14234,1215,7,408,117,4,43,24,61,42,212,2,4,8,3168,1283,4294,182,5,0,2,7,6,13,0,3,6,4,34,11,48,7,7,43,2693
אור עקיבא,13704,7036,203,2,203,41,9,9,4,38,10,98,1,6,2,1047,1889,2363,33,7,2,1,2,3,2,0,3,5,2,5,8,26,1,8,11,869
אורה,604,445,60,0,7,1,0,6,3,2,1,19,0,0,0,97,25,127,14,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,4,72
אורות,347,244,58,0,3,2,0,4,0,0,0,0,0,0,0,112,6,29,25,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1
אורטל,177,122,15,0,11,0,0,3,0,3,1,0,0,0,0,42,11,27,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
אורים,411,247,96,0,0,2,0,15,4,1,0,0,0,0,0,81,9,12,18,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,2,0
אורנית,4212,3164,304,0,133,13,0,29,3,11,6,102,0,0,2,1037,242,1089,58,0,1,0,0,0,3,0,0,0,0,7,0,20,0,0,32,55
אושה,324,212,87,0,0,0,0,2,1,4,0,0,0,0,1,74,7,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
אזור,8438,5293,608,1,96,41,1,18,5,31,23,71,3,0,10,1651,652,1467,90,8,0,0,3,2,3,0,0,0,0,4,2,24,0,0,20,372
אחווה,182,146,37,0,1,2,0,1,0,2,0,1,0,0,0,63,6,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
אחוזם,339,242,5,0,15,5,0,0,0,0,1,3,0,0,0,17,11,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
אחוזת ברק,896,682,100,0,8,1,0,2,1,1,0,10,0,0,0,256,78,173,26,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,9,11
אחיהוד,454,333,16,0,17,8,0,0,0,1,0,28,0,0,0,28,21,132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76
אחיטוב,600,403,69,0,3,0,0,0,0,5,0,9,0,0,0,152,37,96,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,20
אחיסמך,750,511,36,0,7,1,0,0,0,2,0,6,0,0,0,39,18,143,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,252
אחיעזר,883,677,3,0,139,18,0,3,0,1,0,20,0,0,0,16,10,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334
אטרש (שבט),1228,159,6,0,0,0,6,0,2,1,0,0,2,0,1,5,2,2,7,1,1,1,1,96,0,0,0,0,0,3,1,1,1,0,3,7
איבים,136,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
אייל,314,245,99,0,2,0,0,5,2,0,0,4,0,0,0,87,7,9,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1
איילת השחר,792,536,189,0,25,4,0,3,0,3,1,4,0,0,1,196,19,38,28,0,1,0,0,0,3,0,1,0,0,0,2,7,1,0,4,4
אילון,719,555,95,0,0,2,0,11,4,0,1,2,0,0,1,146,44,54,182,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,3
אילות,262,147,56,0,1,0,0,1,1,0,0,0,0,0,0,45,4,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
אילניה,384,257,33,0,2,0,0,4,0,1,1,2,1,0,0,90,20,85,4,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,4,5
אילת,44156,17841,1425,5,302,84,18,118,74,88,26,362,5,0,19,6246,2653,4327,290,10,2,3,4,32,17,0,5,3,5,33,17,127,2,2,59,1261
איתמר,359,269,0,0,18,6,0,1,0,0,0,214,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14
איתן,277,196,0,0,21,2,0,1,0,0,0,15,0,0,0,5,4,45,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,1,94
אכסאל,6755,2766,28,0,0,7,637,0,1073,0,1,1,4,1,0,36,2,5,46,2,1,1,0,829,15,0,1,2,5,1,10,3,3,0,0,4
אל-רום,250,167,39,0,0,0,0,5,1,1,0,0,0,0,0,73,12,9,17,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0
אל סייד,187,64,11,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,1,17
אלומה,253,206,0,0,0,62,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,136
אלומות,224,137,51,0,5,1,0,1,0,1,0,0,0,0,0,41,5,7,22,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
אלון הגליל,570,423,127,0,2,0,0,16,4,1,0,5,0,0,0,160,8,33,57,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,4,0
אלון מורה,795,625,0,1,33,2,0,0,0,0,0,476,0,0,0,2,10,64,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,30
אלון שבות,1761,1457,7,1,588,4,0,16,1,0,0,381,0,0,0,6,18,398,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,17
אלוני אבא,411,347,74,0,0,0,0,13,3,2,5,0,0,0,0,166,8,31,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2
אלוני הבשן,143,114,0,0,44,0,0,0,0,0,0,30,0,0,0,0,2,28,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
אלוני יצחק,116,22,7,0,1,0,0,1,0,0,0,0,0,0,0,6,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אלונים,500,350,153,0,1,1,0,12,0,1,1,8,0,0,0,119,10,11,23,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1
אלי-עד,229,148,18,0,8,1,0,3,0,0,0,9,0,0,2,49,28,17,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,2
אליכין,2081,1467,132,0,152,27,0,7,0,3,6,37,0,0,0,245,77,437,12,3,0,0,0,2,1,0,1,1,0,4,0,6,0,0,3,300
אליפלט,374,229,13,0,5,1,0,1,0,1,0,5,0,0,0,23,17,118,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,42
אליקים,486,349,9,0,9,132,0,4,0,0,1,14,1,0,0,30,18,66,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,55
אלישיב,387,305,11,0,15,4,0,4,0,1,0,10,0,0,0,74,11,95,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,69
אלישמע,655,451,45,0,12,1,0,5,0,1,0,6,0,0,1,128,32,125,3,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,2,78
אלמגור,224,157,39,0,1,0,0,4,2,1,0,0,0,0,0,72,9,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
אלמוג,118,94,38,0,1,0,0,1,0,0,0,2,0,0,1,32,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
אלעד,14040,11600,11,0,350,3551,1,3,2,0,0,951,0,0,0,23,38,496,3,0,0,1,0,1,1,0,0,1,1,1,0,2,0,0,2,6110
אלעזר,841,725,5,0,147,1,0,9,0,0,0,272,0,0,0,3,20,249,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14
אלפי מנשה,4733,3502,284,0,38,13,0,30,0,9,10,78,0,0,1,1191,362,1307,39,0,0,1,0,1,1,0,1,0,0,11,0,11,2,0,19,71
אלקוש,250,176,45,0,4,0,0,0,0,0,2,0,0,0,0,12,11,34,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,67
אלקנה,2194,1825,3,0,775,7,0,4,1,3,0,443,0,0,0,20,48,471,0,0,0,0,0,0,3,0,0,0,1,0,0,4,0,0,0,36
אמונים,599,417,54,0,4,2,0,4,0,7,0,2,0,0,0,135,20,133,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,43
אמירים,424,299,51,1,2,4,0,39,5,3,1,11,0,0,0,104,13,23,25,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,9
אמנון,226,134,29,0,6,0,0,3,1,0,0,3,0,0,0,34,22,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
אמציה,258,192,1,0,16,0,0,0,0,1,0,97,0,0,0,29,11,27,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,6
אניעם,311,233,31,0,3,1,6,0,1,0,4,0,0,0,0,90,36,47,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,3
אסד (שבט),289,33,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
אספר,151,88,0,0,4,27,0,0,0,0,0,29,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
אעבלין,6843,4309,164,0,1,4,768,1,1709,1,31,4,6,0,0,217,9,25,58,1,0,2,1,1200,1,0,1,2,10,0,6,6,3,3,1,7
אעצם (שבט),2965,867,9,0,2,2,19,1,5,0,3,1,14,2,1,8,1,9,14,2,0,3,3,693,1,0,7,3,2,3,0,2,5,2,4,16
אפיק,240,148,28,0,5,0,0,1,0,1,1,2,0,0,0,39,28,19,20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1
אפיקים,1011,688,353,0,2,0,0,15,2,2,1,5,0,0,1,173,31,26,43,0,0,1,0,0,1,0,0,0,1,5,0,7,0,0,8,1
אפק,396,281,135,0,1,0,0,8,1,0,0,2,0,0,1,94,7,10,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2
אפרתה,4928,3823,13,0,845,16,1,68,4,1,0,1085,2,0,1,45,109,1502,7,0,6,0,0,0,1,0,0,0,0,1,1,3,0,1,2,97
ארבל,318,218,50,0,3,0,0,2,1,4,0,8,0,0,0,78,23,35,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5
ארגמן,139,84,4,0,0,0,0,2,0,1,0,1,0,0,0,27,9,32,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
ארז,338,227,88,0,2,0,0,2,2,0,2,2,0,0,0,76,8,10,32,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
אריאל,13280,8672,161,1,86,21,1,19,8,20,5,422,1,2,7,820,2659,3846,36,7,1,0,5,0,7,0,0,1,3,7,8,65,0,2,33,266
אשבול,214,149,53,0,2,0,0,0,0,2,0,2,0,0,0,21,9,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
אשדוד,156977,96363,4176,23,1399,8101,43,179,46,436,109,1359,17,29,46,14896,24693,23191,738,129,16,26,24,37,59,0,14,31,26,139,93,294,27,103,212,14065
אשדות יעקב  (איחו,464,322,132,0,1,0,0,2,0,0,0,5,0,0,0,116,12,27,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
אשדות יעקב  (מאוח,389,248,126,0,3,0,0,2,0,4,0,0,0,0,0,69,11,15,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,5
אשחר,322,247,57,0,26,1,0,50,1,2,0,9,0,0,0,29,18,45,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
אשכולות,244,196,6,0,36,0,0,0,0,1,0,36,0,0,0,39,13,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7
אשל הנשיא,93,58,9,0,3,0,0,3,0,0,0,1,0,0,0,16,6,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אשלים,225,144,25,0,3,0,0,3,0,1,0,0,0,0,0,60,14,23,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3
אשקלון,89652,50644,2812,11,1027,488,34,132,32,297,86,1424,13,26,27,7978,13631,15358,351,140,8,9,17,17,37,0,19,18,15,78,45,169,23,16,101,5356
אשרת,325,216,16,0,14,3,0,0,0,0,0,8,0,0,1,68,27,59,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,13
אשתאול,564,417,29,0,12,6,0,12,0,0,1,18,0,0,0,44,41,106,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,126
באקה-ג'ת,19505,9704,429,2,0,2,3760,3,506,1,3,15,5,0,3,50,4,15,40,1,0,2,0,4621,1,0,3,4,13,4,49,1,3,4,4,2
באר טוביה,563,456,190,0,0,0,0,5,0,6,4,1,0,0,0,163,18,39,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
באר יעקב,5786,3627,309,1,136,81,0,15,8,15,6,90,0,0,3,1023,341,938,49,2,3,0,1,1,40,0,0,4,1,8,5,15,1,2,9,466
באר שבע,148214,79215,5577,19,1608,533,88,274,200,476,168,1970,15,35,59,15257,19447,21657,880,150,22,23,33,94,53,0,17,29,16,109,69,227,27,41,189,8491
בארות יצחק,369,261,4,0,129,1,0,16,0,1,0,24,0,0,1,30,9,42,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
בארותיים,529,413,66,0,5,0,0,13,0,3,0,7,0,0,0,205,21,55,14,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,9,8
בארי,757,583,337,1,2,0,0,7,5,0,2,6,0,0,0,120,13,17,62,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0
בוסתן הגליל,389,284,71,0,4,1,0,4,1,1,1,10,0,0,0,96,25,38,14,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,11
בועיינה-נוג'ידאת,4473,2516,144,1,1,1,948,0,525,1,45,1,0,1,0,56,6,7,45,0,2,0,0,659,1,0,0,0,8,0,4,0,3,0,0,4
בוקעאתא,277,78,12,0,0,0,0,0,0,1,0,0,0,0,0,3,37,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16
בורגתה,668,494,90,0,3,0,0,6,0,0,0,3,1,0,0,252,24,76,15,0,0,0,0,0,2,0,0,0,0,2,2,2,0,0,4,9
בחן,267,181,62,0,2,0,0,4,0,0,0,0,0,0,0,73,8,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
בטחה,485,354,26,0,26,5,0,0,0,0,0,23,0,0,0,21,3,143,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,101
ביצרון,718,577,132,0,0,0,0,7,1,3,2,2,0,0,0,315,24,56,25,0,0,2,1,0,0,0,0,0,1,0,2,0,0,0,1,2
ביר אל-מכסור,4566,1249,73,1,43,1,343,0,104,2,0,2,0,0,1,107,4,19,10,0,0,1,0,468,1,0,6,0,11,2,1,2,0,2,0,13
ביר הדאג',103,51,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,35,0,0,0,0,0,0,1,2,0,1,0,1
ביריה,501,336,25,0,8,7,0,1,0,2,0,23,0,0,0,39,21,96,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,107
בית אורן,268,157,44,0,3,0,0,19,2,1,0,4,0,0,0,46,4,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
בית אל,2817,2420,1,0,339,12,1,4,1,0,0,1644,0,0,0,2,24,294,1,1,0,0,0,0,4,0,0,0,0,1,0,6,0,0,2,72
בית אלעזרי,879,646,106,0,4,4,0,5,3,3,1,14,1,0,0,256,43,153,27,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0,5,11
בית אלפא,537,358,106,1,1,0,0,2,3,0,0,0,0,0,0,89,6,13,132,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
בית אריה,2399,1762,58,0,27,5,0,13,0,6,1,46,2,0,0,359,200,945,15,0,1,1,0,1,1,0,0,1,0,1,0,6,0,0,10,50
בית ג'ן,6620,4710,668,1,17,1,971,0,94,6,6,1,1,0,2,1143,698,463,148,0,0,0,1,2,0,0,0,0,14,1,2,10,0,2,1,425
בית גוברין,206,154,54,3,0,0,0,1,1,2,1,0,0,0,0,63,6,9,11,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
בית גמליאל,662,512,14,0,178,10,0,9,0,0,0,69,0,0,0,24,15,147,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,36
בית דגן,4364,3042,211,1,70,55,0,12,3,13,3,106,2,0,1,826,199,1065,33,0,0,1,0,1,12,0,1,1,0,5,2,17,0,0,10,357
בית הגדי,407,299,11,0,23,1,0,0,0,1,0,27,0,0,0,10,7,128,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,83
בית הלוי,433,333,91,0,4,0,0,10,4,0,1,4,0,0,1,130,12,41,26,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,1
בית הלל,444,297,78,0,3,0,0,7,1,0,0,3,0,0,2,147,15,19,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
בית העמק,465,315,141,0,0,0,1,7,0,1,0,3,0,0,0,70,25,10,46,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0
בית הערבה,50,36,3,0,1,0,0,2,0,0,0,0,0,0,0,11,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
בית השיטה,910,625,351,0,1,0,0,7,0,4,1,8,2,0,0,149,26,29,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
בית זית,914,664,126,0,8,5,0,46,14,5,1,14,1,0,1,225,25,95,75,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,4,13
בית זרע,569,378,87,1,2,0,0,11,1,1,0,2,0,0,1,119,14,6,125,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,1,1
בית חורון,578,487,3,0,51,18,0,2,0,1,0,143,0,0,0,21,22,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,13
בית חירות,486,390,109,0,2,0,0,12,2,3,1,1,0,0,0,189,3,24,34,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0
בית חלקיה,283,229,1,0,4,188,0,1,0,0,0,7,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19
בית חנן,473,355,94,0,2,0,0,6,1,4,0,0,0,0,0,168,14,42,19,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
בית חנניה,450,346,66,0,8,0,0,9,2,2,2,5,0,0,0,155,15,45,25,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,3,2
בית חשמונאי,1030,775,92,0,13,0,0,8,1,0,1,9,0,0,0,244,65,280,23,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,24
בית יהושע,588,477,83,0,9,1,0,2,4,1,3,7,0,0,0,222,22,77,38,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,1
בית יוסף,290,172,17,0,1,0,1,0,0,0,0,2,0,0,1,11,14,60,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,61
בית ינאי,281,190,55,0,0,0,0,4,2,0,1,1,0,0,0,86,2,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
בית יצחק-שער חפר,1418,1106,321,0,10,2,0,10,5,7,1,1,0,0,0,507,36,113,68,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,7,6
בית לחם הגלילית,515,390,92,0,2,3,0,8,2,0,0,4,0,0,0,165,12,60,37,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
בית מאיר,377,298,6,0,57,26,0,6,0,1,0,59,0,0,0,10,17,74,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,39
בית נחמיה,514,375,49,0,4,0,0,6,1,0,1,2,0,0,1,145,28,105,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,7
בית ניר,236,171,37,0,0,0,0,3,2,0,0,0,0,0,0,48,1,1,76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
בית נקופה,364,274,39,0,5,0,0,9,0,2,0,4,0,0,4,77,16,85,13,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,13
בית עובד,259,192,61,0,0,0,0,3,0,0,1,2,0,0,0,83,3,20,15,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
בית עוזיאל,375,254,25,0,12,2,0,4,0,3,1,5,0,1,0,52,22,87,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,30
בית עזרא,679,492,95,0,14,0,0,1,0,2,0,6,0,0,1,140,36,137,5,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,4,45
בית עריף,534,390,24,0,15,2,0,3,1,1,0,10,0,0,0,56,24,146,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,102
בית קמה,387,281,56,0,2,2,0,5,0,0,1,1,0,0,0,115,8,14,71,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
